,QueryText,KCCAns
0,ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK
2,Asking about weather forecast?,This week partially weather is CLOUDY and Possibility of LIGHT to MEDIUM Rainfall
4,Asking about weather  forecast ?,This week weather is CLOUDY and Possibility  light Rainfall
6,farmer asked about fertilizer dose for onion?,fertilizer dose for onion:- 10 : 26 : 26 1 bag / acre
10,Asking about weather forecast?,This week weather is CLOUDY and   Possibility of Rainfall.
12,Asking about weather forecast?,This week partially weather is CLOUDY and Possibility of LIGHT Rainfall
14,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 NO RAINFALL CHANCES
16,ATTACK OF APHIDS ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin )
22,ASKED ABOUT BLIGHT ATTACK ON ONION ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
24,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION?,FERTILIZER DOSE ON ONION- 15:15:15- 1 BAG / ACRE
28,Asking about weather forecast?,This week weather is cloudy and possibility of light Rainfall.
30,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER
32,Asking about weather forecast Tahsil ?,Tahsil Weather Report- This week weather is cloudy and Possibility  light Rainfall .
34,Asking about weather forecast?,This week weather is CLOUDY and   Possibility of Rainfall
36,ASKED ABOUT ON MAIZE?,SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)
38,Asking about weather forecast Tahsil ?,This week weather is cloudy and Possibility  light Rainfall .
40,Asking about weather forecast ?,WEATHER REPORT- Partly cloudy skies. Rain or thundershowers likely in some areas towards evening.
42,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34 LIGHT  RAINFALL CHANCES .
44,Asking about weather forecast?,This week weather is partly cloudy and  Possibility of Rainfall.
46,Asking about weather forecast?,"This week weather is cloudy, possiblity of light rainfall."
48,Asking about weather forecast AKKALKOT  Tahsil ?,Akkalkot Tahsil Weather Report- This week weather is cloudy and Possibility of light rainfall.
52,ASKING ABOUT CONTROL OF BLIGHT ATTACK ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
58,Asked about Market rate of pomegranate?,Pune Market rate of pomegranate-2000-9000/qtl.
62,Caterpillar,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
64,Asking about weather forecast ?,"Weather report -Cloudy Weather , possibility of light Rainfall"
66,ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK.
72,asked about pruning in custard apple ?,"Sapphire can be done in January-February. In the year of April, it is necessary to snatch 1 smooth cross (not straight) on the eyes of the pencil-shaped branches, drying, dried, dried, cracked like cucumber and candy leaves."
74,ASKING ABOUT LEAF BURNING OF MANGO?,Spray Bavistine 30gm/15lit of Water.
78,Asking About Market Rate ber ?,Market Rate of ber 700-1200 rupees/qtl
86,Asking about weather forecast ?,This week weather is cloudy and Possibility of light Rainfall.
88,ASKED ABOUT MARKET RATE OF solapur  ?,MARKET RATE OF - RS300-2000/QUINTAL
90,ASKING ABOUT CONTROLL OF WILT ATTACK  ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP )
92,ASKED ABOUT VARIETIES OF SORGHUM?,"PARBHANI MOTI, MALDANDI, PHULE YASHODA"
94,Asking about weather forecast ?,A few spells of moderate / light RAINFALL.
102,Asking about weather forecast?,-This week weather is CLOUDY and LIGHT to medium Possibility of Rainfall
104,FERTILIZER DOSE FOR LEMON ?,"FERTILIZER DOSE FOR LEMON =
In spite of hand spraying, spray of silicosil 1000 P.PM in September"
106,Asking about weather forecast?,This week partially weather is cloudy and Possibility of light Rainfall
108,Asking about weather forecast ?,Weather Report - This week weather is cloudy and  Possibility of Rainfall
110,Asking about weather forecast ?,"Weather Forecast - partly cloudy atmosphere  , there will be possibility of rain in some places."
112,fertilizer dose for sugarcane?,you can apply 00 52 34-5 kg / acre
116,Attack Red Mites ?,Spray Oberon 15 ml+m 45 30 gm  / 15Lit of Water.(Spiromesifen) BAYER CROP SCIENCE
118,Asking about weather forecast ?,This week weather is CLOUDY and Possibility  MEDIUM to HIGH Rainfall
120,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES
124,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall
126,"Contact no.of National Research Centre For Grapes , Manjiri Farm -PUNE?","Contact no.of National Research Centre For Grapes , Manjiri Farm -PUNE- 020 2695 6000"
128,ASKING ABOUT MARKET RATE ?,MARKET RATE OF CORIANDER- 500  RUPEES/QTL
130,Asking about weather forecast?,-This week weather is CLOUDY and LIGHT Possibility of Rainfall
132,Asking about weather forecast?,This week weather is partially CLOUDY and Possibility of LIGHT To MEDIUM Rainfall
138,Asking about weather forecast  ?,"Weather report -Cloudy Weather , possibility of light Rainfall"
140,asking about BLIGHT ATTACK on onion ?,BLIGHT ATTACK on onion - SPRAY RIDOMIL GOLD 30 GM ( METALAXYL 4 % + MANCOZEB 64 % )+ MICROLA 30 ML / 15 LITERS OF WATER. SYNGENTA
142,Asking about weather forecast ?,This week weather is cloudy and Possibility of light to medium Rainfall.
146,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT Rainfall
148,asked about fertilizer dose for pomegranate?,DAP 1 KILO+ calcium 20 GRAM+ magnesium 20 GRAM +sulphar 20 GRAM / TREE
150,SKING ABOUT BLIGHT ATTACK ON ONION ?,BLIGHT ATTACK ON ONION - SPRAY RIDOMIL GOLD 30 GM ( METALAXYL 4 % + MANCOZEB 64 % )/ 15 LITERS OF WATER. SYNGENTA
154,asked about attack jassids on onion?,attack jassids on onion: BIO 303 - 15ML / 15 LITERS OF WATER DAMAN
158,Asking about weather forecast?,This week weather is partly cloudy and Possibility of Rainfall.
162,Asking about weather forecast ?,"Weather Forecast - In the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
164,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ON POMEGRANATE?,CONTROLL OF BLIGHT ATTACK ON POMEGRANATE  - Spray Blue copper -30 gm + STRETOMYCIN 25 MILI /15 lit water
170,Attack  Stem Borer?,Spray Chloropyriphos 30 ml/15 Lit of Water.
172,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND  RAINFALL CHANCES DURING THIS WEEK
178,FERTILIZER SPRAY FOR GROWTH?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
182,ASKED ABOUT FERTILIZER DOSE FOR SUGARCANE ?,FERTILIZER DOSE FOR SUGARCANE- APPLICATION OF 10 26 26 2 BAG + UREA 2 BAG + MICRO NUTRIENTS 10 KG + HUMIC ACID 5 KG + NIMBOLI PEND 40 KG/ ACRE.
184,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND  RAINFALL CHANCES DURING THIS WEEK.
188,ASKED ABOUT BLIGHT ON ONION ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE
190,Asking about weather forecast?,This week weather is cloudy and possibility of light to medium rainfall.
194,Asking about weather forecast?,This week weather is partly cloudy and Possibility of light to medium rainfall
202,asked about increase flower on pomegranate ?,
204,FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 LIT OF WATER.
208,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY LIGHT   RAINFALL CHANCES
212,Asking about weather forecast in Barshi (Solapur)  ?,"weather forecast in Barshi (Solapur) This week weather is cloudy and light possibility of rainfall, Today's temperature -20 - 34 degree celsius,wind speed -16 kilometer/hr ."
216,FARMER ASKED ABOUT MARKET RATE OF udid  ?,MARKET RATE OF udid -PUNE	----	QUINTAL	7	5800	6000 RS/QTL
218,FRUIT ROT?,Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta
228,Asking about weather forecast ?,Today weather is CLOUDY and Possibility of light Rainfall
230,ASKED ABOUT ATTACK OF BLIGHT ON ONION?,ATTACK OF BLIGHT ON ONION-SPRAY OF SAAF 30 GM / 15 LITERS OF WATER.
234,ASKED ABOUT FRUIT FLY ATTACK ON POMEGRANATE?,SPRAY JAGGARY 50 GRAM+ CHLOROPYRIPHOS 30 GRAM PER 15 LITER OF WATER
236,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY WITH LIGHT TO MODERATE RAINFALL CHANCES
242,Asking about weather forecast?,This week weather is partly cloudy and Possibility of light   Rainfall.
246,ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND LIGHT RAINFALL CHANCES DURING THIS WEEK
254,Asking about weather forecast?,This week weather is CLOUDY and  of  Possibility LIGHT To MEDIUM Rainfall
260,Asked about Market rate of onion?,Market rate of onion-100-1380/qtl.
266,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of LIGHT Rainfall.
268,ASKED ABOUT WASTE DECOMPOSER,"Mr. Amol Bindumadhav Shastri
Subject Matter Specialist (Agronomy)
kvksolapurtech@rediffmail.com
9422657721 02172500159"
272,ATTACK OF THRIPS on onion?,Spray Regent 15 ml /15 liter water (Fipronil 5 SC)-Bayer
276,Asking about weather forecast?,This week weather is cloudy and light possibility of rainfall.
278,"Asking about weather forecast?
T",his week weather is CLOUDY and  Possibility of   LIGHT  Rainfall
284,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Proclaim 5 gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
286,ASKED ABOUT BLIGHT ATTACK ON CORIANDER?,Spray Blue copper -20 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
288,ASKING ABOUT WHITE GRUB?,WHITE GRUB-Humnasur 6 kg/acre(Patil Biotech)
290,Asking about weather forecast?,This week weather is cloudy and light possibility of rainfall
292,Asking About Market Rate of soybean ?,Market Rate of soybean  2800-3150 rupees/qtl
294,Asking about weather forecast ?,weather cloudy light rainfall chances & total week rainfall chances
298,Asking about weather forecast ?,This week weather is CLOUDY and LIGHT Possibility of Rainfall
