"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","ATTACK OF APHIDS ?","SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA","MAHARASHTRA","BULDANA","SANGRAMPUR                                        ","2018-10-01 06:48:56.293"
"KHARIF","AGRICULTURE","Others","Others","Weather","ATTACK OF APHIDS ?","SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA","MAHARASHTRA","BULDANA","SANGRAMPUR                                        ","2018-10-01 06:48:56.293"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 07:52:24.287"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 07:52:24.287"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 08:08:22.160"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 08:08:22.160"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light to medium Rainfall.","MAHARASHTRA","BULDANA","BULDANA                                           ","2018-10-01 08:14:33.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light to medium Rainfall.","MAHARASHTRA","BULDANA","BULDANA                                           ","2018-10-01 08:14:33.740"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about white fly attack on cotton ?","white fly attack on cotton -Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron)","MAHARASHTRA","BULDANA","BULDANA                                           ","2018-10-01 08:15:25.080"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about white fly attack on cotton ?","white fly attack on cotton -Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron)","MAHARASHTRA","BULDANA","BULDANA                                           ","2018-10-01 08:15:25.080"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ATTACK OF PINK BOLLWORM ON COTTON ?","Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 08:36:02.367"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ATTACK OF PINK BOLLWORM ON COTTON ?","Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 08:36:02.367"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall .","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 08:44:10.650"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week partially weather is CLOUDY and Possibility of LIGHT Rainfall .","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 08:44:10.650"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEME ?","FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 08:49:22.247"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEME ?","FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 08:49:22.247"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Varieties","VARIETIES OF MAIZE ?","VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, MANJARI ,KARVIR VIVEK- SANKUL ,PANCHGANGA,NK-30","MAHARASHTRA","BULDANA","NANDURA                                           ","2018-10-01 08:50:01.557"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Varieties","VARIETIES OF MAIZE ?","VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, MANJARI ,KARVIR VIVEK- SANKUL ,PANCHGANGA,NK-30","MAHARASHTRA","BULDANA","NANDURA                                           ","2018-10-01 08:50:01.557"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about attack of white fly on cotton ?","SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)","MAHARASHTRA","BULDANA","MALKAPUR                                          ","2018-10-01 08:57:47.563"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about attack of white fly on cotton ?","SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)","MAHARASHTRA","BULDANA","MALKAPUR                                          ","2018-10-01 08:57:47.563"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 09:16:41.577"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall","MAHARASHTRA","BULDANA","MOTALA                                            ","2018-10-01 09:16:41.577"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Forecast - In the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain.","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 09:48:37.797"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","Weather Forecast - In the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain.","MAHARASHTRA","BULDANA","LONAR                                             ","2018-10-01 09:48:37.797"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about white fly attck on cotton ?","Spray Ullala 8 gm + bavistin 30 gram /15 Lit of Water.","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 09:50:49.617"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about white fly attck on cotton ?","Spray Ullala 8 gm + bavistin 30 gram /15 Lit of Water.","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 09:50:49.617"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 09:54:20.967"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast ?","This week weather is cloudy and Possibility of light Rainfall.","MAHARASHTRA","BULDANA","KHAMGAON                                          ","2018-10-01 09:54:20.967"
