"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 08:48:05.900"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather  forecast ?","This week weather is CLOUDY and Possibility  light Rainfall","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 08:48:05.900"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 09:08:04.857"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 09:08:04.857"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","FOR FLOWERING TUR ?","Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 09:30:10.380"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","FOR FLOWERING TUR ?","Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 09:30:10.380"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of White Fly ?","Spray Ullala 8 gm/15 Lit of Water.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 09:31:09.613"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of White Fly ?","Spray Ullala 8 gm/15 Lit of Water.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2018-10-01 09:31:09.613"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is cloudy and possibility of light Rainfall.","MAHARASHTRA","WASHIM","MANORA                                            ","2018-10-01 10:42:27.570"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is cloudy and possibility of light Rainfall.","MAHARASHTRA","WASHIM","MANORA                                            ","2018-10-01 10:42:27.570"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2018-10-01 10:59:58.470"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather forecast?","This week weather is CLOUDY and   Possibility of Rainfall.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2018-10-01 10:59:58.470"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","Tahsil Weather Report- This week weather is cloudy and Possibility of light rainfall.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2018-10-01 11:06:58.850"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about weather forecast Tahsil ?","Tahsil Weather Report- This week weather is cloudy and Possibility of light rainfall.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2018-10-01 11:06:58.850"
